ITALIANO,BRESCIANO,categoria,Bresciano_,Column1
"asfodelo, porraccio",por selvadech,botanica,por selvadech,13
asina,asna,,asna,4
asina,ciuca,,ciuca,5
asinaccio,asnu,,asnu,4
asinata,asnada,,asnada,6
asinello,asni,,asni,4
asino,asen,zoologia,asen,4
asino,canari de la Mela,scherzo,canari de la mela,17
asino,ciucio,zoologia,ciucio,6
asino,somel,arcaico,somel,5
asma,mancafiat,,mancafiat,9
asola,aseta,arcaico,aseta,5
asola,buzel,,buzel,5
asola,buzet,,buzet,5
asola,maeta,,maeta,5
asola,ociel,,ociel,5
asola,ociet,,ociet,5
asola,bus del butu,,bus del butu,12
asparago,spares,botanica,spares,6
aspersorio,asperges,arcaico,asperges,8
ITALIANO,BRESCIANO,categoria,bresciano,9
aspide,ipera,rettile,ipera,5
aspide,lipera,rettile,lipera,6
"aspo, guindolo",aspa,attrezzo,aspa,4
aspro,agher,,agher,5
assaggiare,tasta,,tasta,5
"assaggiatore (assaggiava contenuto delpozzo nero per garantirne la genuinita)",tastadur,arcaico,tastadur,8
assaporare,ciciula,,ciciula,7
